HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT (Y/N),BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
1,306549,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST, ,501885,6961746,-27.467834,153.019079,BRISBANE CITY, , ,, , ,
2,306550,Herschel St app Nth Quay (Stop 2),NORTH QUAY, ,501851.9,6961717.1,-27.468095,153.018744,BRISBANE CITY, , ,, , ,
3,306547,Turbot St F/S Albert St (Stop 3),TURBOT ST, ,502311.3,6961837.3,-27.467009,153.023393,BRISBANE CITY, , ,, , ,
4,306512,Turbot St F/S Wharf St (Stop 4),Turbot St,Wharf St,502805.7,6962247.3,-27.463306,153.028396,SPRING HILL,Intermediate,N,Hard,Easy,Hard,6/05/2007
5,306524,Ann Street F/S Orient Hotel (Stop 5),Ann St,Queen St,503022.1,6962290.4,-27.462917,153.030586,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,6/07/2007
6,306558,Ann St app Wharf St (Stop 6),Ann St,Creek St,502880.6,6962169,-27.464013,153.029154,BRISBANE CITY,Intermediate,Y,Medium,Medium,Medium,29/05/2012
7,306559,Ann St at Anzac Square (Stop 7),Ann St,Creek St,502617.7,6961937.3,-27.466105,153.026494,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012
8,300073,Ann St app Edward St (Stop 8),Ann St,Edward St,502569.1,6961895,-27.466487,153.026002,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,20/02/2012
9,306560,Ann St app KGS (Stop 9),Ann St,Edward St,502466.1,6961808,-27.467273,153.02496,BRISBANE CITY,Regular with seat,Y,Hard, ,Easy,20/02/2012
10,306561,Ann St at KGS (Stop 10),Ann St,Albert St,502368.3,6961727.2,-27.468003,153.02397,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,28/06/2011
11,306573,Ann St Stop 11,Ann St,George St,502266.7,6961637.1,-27.468816,153.022942,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,13/06/2007
12,306558,Stop 6A Ann St app Creek St,CREEK ST, ,502701.6,6962010.6,-27.465444,153.027343,BRISBANE CITY,Intermediate, ,, , ,
14,701393,Ann St @ City Hall Stop 12,ADELAIDE ST, ,502262.7,6961634,-27.468844,153.022902,BRISBANE CITY, , ,, , ,
17,306585,Adelaide St f/s George St (Stop 17),GEORGE ST, ,502271.7,6961511.4,-27.469951,153.022993,BRISBANE CITY, ,Y,, , ,
18,306582,Adelaide St at City Hall (Stop 18),Adelaide St,George St,502293.9,6961530.7,-27.469777,153.023218,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007
19,307257,Adelaide St adj City Hall (Stop 19),Adelaide St,Albert St,502346,6961572,-27.469404,153.023745,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,13/05/2008
