"Item_title","Artist","Location","Description","Materials","Installed","displayed","Temporary_permanent","Ownership","Programme","Lat","Long"
"The progress of civilisation in the State of Queensland","Daphne Mayo","City Hall, King George Square","The central figure in the classic design is robed to represent the state who sends her explorers, industrialists and artists throughout the land. The displaced Aboriginal people are depicted as fleeing.","Sandstone","1930","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.469","153.024"
"Speakers Corner: Emma Miller, Sire Charles Lilley, Steele Rudd","Artbusters","King George Square","Speakers Corner depicts three important figures in Queensland's history - Emma Miller, Sir Charles Lilley and Steele Rudd.","Bronze","1993","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.469","153.025"
"King George V memorial","E.F. Kohler, R. Summerhayes and E.S. Taylor","King George Square","The design of the King George V bronze equestrian statue with its two lions, was the result of an Australian wide competition.","Bronze","1938","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.468","153.024"
"Lions","E.F. Kohler, R. Summerhayes and E.S. Taylor","King George Square","The lions are of the type described as 'lion couchant', lying down with the head raised. The lion is a common symbol in heraldry and is particularly prominent in British heraldry.","Bronze","1938","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.469","153.024"
"Petrie Tableau","Stephen Walker","King George Square","The Petrie Tableau was commissioned and created as a way to acknowledge the pioneer families of Brisbane.","Bronze","1988","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.468","153.024"
"Resilience ' women's suffrage memorial","Cida de Aragon in collaboration with Steffen Lehmann","Emma Miller Place","This abstract work graphically describes the quest to be recognised as equal. It was installed in 2007 in recognition of the 100 year anniversary of women?s right to vote in Queensland.","Concrete, metal and glass","2007-2008","Ongoing","Permanent","Queensland State Government","Cultural Heritage Public Art Trail","-27.468","153.023"
"Queensland women's war memorial","Daphne Mayo","Anzac Square, the western wall","The Women's War Memorial depicts a solemn procession of the infantry and their horse-drawn guns, beautifully carved in Helidon sandstone.","Helidon Sandstone","1932","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.466","153.026"
"Vietnam war 1962-1973","Dorothea Saaghy","Anzac Square","The sculpture depicts an act of mercy performed many times during the Vietnam War - an Australian soldier directing a medical helicopter to descend and tend to his wounded mate.","Bronze","1988","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.467","153.027"
"Korea - Malaya - Borneo - 1948-1966 memorial","Rhyl Hinwood","Anzac Square","This memorial depicts an Australian soldier from the Malaya and Borneo wars standing alongside an Australian soldier from the Korean Campaign, with an arm outstretched welcoming peace and friendship.","Bronze figures, granite plinth","1966","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.466","153.027"
"South West Pacific campaign memorial","Artbusters","Anzac Square","The memorial is a tribute from Brisbane City Council to those soldiers who fought at Milne Bay and in the Kokoda Campaigns and was unveiled during the 50th anniversary year.  ","Bronze figures, granite plinth with mosaic and brass infill","1992","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.467","153.027"
"World War II memorial","Artbusters","Anzac Square","The memorial depicts a wounded Australian soldier being assisted by a nursing sister - a scene typical of all theatres of war and exemplifying the involvement of all Australian servicemen and women in World War II.","Bronze figures, granite plinth, mosaic and bronze inlays","1992","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.466","153.027"
"The South African War memorial","James Watts","Anzac Square","The memorial featuring a Boer War soldier on horseback was first erected in Turbot Street below King Edward Park in 1919 and moved to Anzac Square in 1938/39.","Bronze, sandstone pedestal","1919","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.467","153.027"
"Major General Sir William Glasgow","Daphne Mayo","Post Office Square","This naturalistic bronze figure depicts one of Queensland's most distinguished First World War officers. Major General Sir William Glasgow served in Egypt and Gallipoli with the Australian Light Horse Regiment. ","Bronze with marble plinth","1966","Ongoing","Permanent","Brisbane City Council","Cultural Heritage Public Art Trail","-27.467","153.027"
