wifi_hotspot_name,address,suburb,lat,long,site,btn_both
Annerley Library Wifi,450 Ipswich Road,Annerley,-27.50942285,153.0333218,Library,TRUE
Ashgrove Library Wifi,87 Amarina Avenue,Ashgrove,-27.44394629,152.9870981,Library,TRUE
Brisbane Square Library Wifi,"Brisbane Square, 266 George Street",Brisbane City,-27.47091173,153.0224598,Library,TRUE
Bulimba Library Wifi,Corner Riding Road & Oxford Street,Balmoral,-27.45203086,153.0628242,Library,TRUE
Carina Library Wifi,Corner Mayfield Road & Nyrang Street,Carina,-27.49169314,153.0912127,Library,TRUE
Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, 180 Fairfield Road",Fairfield,-27.50909038,153.0259709,Library,TRUE
Hamilton Library Wifi,Corner Racecourt Road and Rossiter Parade,Hamilton,-27.43790137,153.0642227,Library,TRUE
Holland Park Library Wifi,81 Seville Road,Holland Park,-27.52292286,153.0722921,Library,TRUE
Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Road",Indooroopilly,-27.49764287,152.9736471,Library,TRUE
Mt Coot-tha Botanic Gardens Library Wifi,"Administration Building, Brisbane Botanic Gardens (Mt Coot-tha), Mt Coot-tha Road",Mount Coot-tha,-27.47529908,152.9760412,Library,TRUE
New Farm Library Wifi,135 Sydney Street,New Farm,-27.46736574,153.0495841,Library,TRUE
QLD_07321001X2,127 Queen St,Brisbane City,-27.46967,153.02515,CBD,TRUE
QLD_07321010X2,141 Queen St,Brisbane City,-27.46924,153.02579,CBD,TRUE
QLD_07321014X2,155 Queen St,Brisbane City,-27.46882,153.02657,CBD,TRUE
QLD_07321017X2,221 ALBERT ST,Brisbane City,-27.469504,153.025176,CBD,TRUE
QLD_07321116X2,33 Queen St,Brisbane City,-27.47067,153.02387,CBD,TRUE
QLD_07321117X2,33 Queen St,Brisbane City,-27.47048,153.02392,CBD,TRUE
QLD_07322112X2,109 Elizabeth St,Brisbane City,-27.470596,153.025824,CBD,TRUE
QLD_07322116X2,136 Elizabeth St,Brisbane City,-27.470011,153.026413,CBD,TRUE
QLD_07322117X2,232 Albert St,Brisbane City,-27.469209,153.024791,CBD,TRUE
QLD_07322119X2,10 Eagle St,Brisbane City,-27.469399,153.030166,CBD,TRUE
QLD_07322121X2,128 Edward St,Brisbane City,-27.469984,153.028516,CBD,TRUE
QLD_07322131X2,10 Charlotte St,Brisbane City,-27.47234,153.02498,CBD,TRUE
QLD_07322136X2,180 Mary St,Brisbane City,-27.470447,153.029261,CBD,TRUE
QLD_07322138X2,165 Adelaide St,Brisbane City,-27.467763,153.02595,CBD,TRUE
QLD_07322144X2,179 Ann St,Brisbane City,-27.467221,153.024958,CBD,TRUE
QLD_07322146X2,280 ADELAIDE ST,Brisbane City,-27.465714,153.028389,CBD,TRUE
QLD_07322147X2,232 Adelaide St,Brisbane City,-27.46656,153.027263,CBD,TRUE
QLD_07322148X2,345 Queen St,Brisbane City,-27.46673,153.02909,CBD,TRUE
QLD_07322150X2,35 Creek St,Brisbane City,-27.467561,153.029193,CBD,TRUE
QLD_07322165X2,70 Adelaide St,Brisbane City,-27.469385,153.023778,CBD,TRUE
QLD_07322915X2,15 Adelaide St,Brisbane City,-27.469975,153.023175,CBD,TRUE
QLD_07322918X2,88 Adelaide St,Brisbane City,-27.46906,153.024087,CBD,TRUE
QLD_07322920X2,135 Margaret St,Brisbane City,-27.47281561,153.0281487,CBD,TRUE
QLD_07322921X2,270 ANN ST,Brisbane City,-27.466536,153.02562,CBD,TRUE
QLD_07322922X2,3 Edward St,Brisbane City,-27.47202,153.0305,Southbank Area,TRUE
QLD_07322926X2,201 Elizabeth St,Brisbane City,-27.469229,153.027579,CBD,TRUE
QLD_07322927X2,123 Albert St,Brisbane City,-27.47078,153.02641,CBD,TRUE
QLD_07322929X2,54 Adelaide St,Brisbane City,-27.469538,153.023588,CBD,TRUE
QLD_07322948X2,72 QUEEN ST,Brisbane City,-27.4701,153.0239,CBD,TRUE
QLD_07322952X2,91 Queen St,Brisbane City,-27.4702,153.02444,CBD,TRUE
QLD_07323600X2,30 HERSCHEL ST NR NORTH QUAY,Brisbane City,-27.467956,153.018788,CBD,TRUE
QLD_07323602X2,58 Roma St,Brisbane City,-27.46768,153.02212,CBD,TRUE
QLD_07323604X2,20 Makerston St,Brisbane City,-27.466833,153.018736,Paddington,TRUE
QLD_07323611X2,96 Albert St,Brisbane City,-27.471699,153.027213,CBD,TRUE
QLD_07323617X2,35 Turbot St,Brisbane City,-27.46888,153.021202,CBD,TRUE
QLD_07323619X2,304 George St,Brisbane City,-27.469877,153.022385,CBD,TRUE
QLD_07325251X2,9 Duncan St,Fortitude Valley,-27.458311,153.033223,Brunswick St & Chinatown,TRUE
QLD_07325284X2,275 Brunswick St,Fortitude Valley,-27.45774,153.03407,Brunswick St & Chinatown,TRUE
QLD_07325711X2,256 Wickham St,Fortitude Valley,-27.45688,153.03409,Brunswick St & Chinatown,TRUE
QLD_07325713X2,230 Brunswick St,Fortitude Valley,-27.456809,153.032926,Brunswick St & Chinatown,TRUE
QLD_07335802X2,51 Chester St,Fortitude Valley,-27.455837,153.042673,James Street Precinct,TRUE
QLD_07335809X2,1020 BRUNSWICK ST,New Farm,-27.471089,153.051264,New Farm,TRUE
QLD_07335815X2,65 James St,Fortitude Valley,-27.45758223,153.0408661,James Street Precinct,TRUE
QLD_07336704X2,163 Given Tce,Paddington,-27.46228,153.00868,Paddington,TRUE
QLD_07336800X2,18 Caxton St,Petrie Terrace,-27.464555,153.012713,CBD,TRUE
QLD_07336926X2,202 Given Tce,Paddington,-27.4618,153.00605,Paddington,TRUE
QLD_07339716X2,58 Old Cleveland Rd,Greenslopes,-27.498589,153.045962,STO,TRUE
QLD_07339719X2,303 Logan Rd,Greenslopes,-27.498591,153.0441,STO,TRUE
QLD_07339721X2,416 Logan Rd,Greenslopes,-27.50078,153.04598,STO,TRUE
QLD_07339738X2,50 Cleveland St,Greenslopes,-27.500519,153.044625,STO,TRUE
QLD_07383100X1,344 WICKHAM TCE,Spring Hill,-27.464264,153.019492,ROM,TRUE
QLD_07383100X2,193 Wickham Tce,Spring Hill,-27.465428,153.02407,CBD,TRUE
QLD_07383102X2,24 Berry St,Spring Hill,-27.464947,153.023778,CBD,TRUE
QLD_07383108X2,73 Wickham Tce,Spring Hill,-27.464606,153.026722,CBD,TRUE
QLD_07383109X2,369 Ann St,Brisbane City,-27.464118,153.029049,CBD,TRUE
QLD_07383201X2,74 Little Edward St,Spring Hill,-27.461039,153.024367,CBD,TRUE
QLD_07383202X2,67 Astor Tce,Spring Hill,-27.463507,153.026053,CBD,TRUE
QLD_07383203X2,1 Astor Tce,Spring Hill,-27.46387,153.024851,CBD,TRUE
QLD_07383901X2,465 Wickham Tce,Spring Hill,-27.46179,153.02098,CBD,TRUE
QLD_07383902X2,135 Wickham Tce,Spring Hill,-27.464807,153.025661,CBD,TRUE
QLD_07383903X2,17 Gregory Tce,Spring Hill,-27.46044,153.01869,CBD,TRUE
QLD_07383904X2,149 Wickham Tce,Spring Hill,-27.464646,153.025356,CBD,TRUE
QLD_07384444X2,100 Grey St,South Brisbane,-27.47408,153.018486,Southbank Area,TRUE
QLD_07384467X2,50 Ernest St,South Brisbane,-27.479379,153.021689,Southbank Area,TRUE
QLD_07384470X2,121 Merivale St,South Brisbane,-27.481457,153.021087,Southbank Area,TRUE
QLD_07384608X2,"Grey St, Maritime Museum",NA,-27.48187,153.02538,Southbank Area,TRUE
QLD_07384612X1,Grey St,South Brisbane,-27.47868477,153.0227853,Southbank Area,TRUE
QLD_07384714X2,383 Logan Rd,Greenslopes,-27.499823,153.045197,STO,TRUE
